student_id,age,gender,family_income_level,parental_education,distance_from_home_km,has_scholarship,part_time_job,high_school_gpa,entrance_exam_score,prior_failures,semester,attendance_rate,study_hours_per_week,current_gpa,lms_login_freq_per_week,extracurricular_activities,counseling_visits,dropout
S100000,18,Male,Medium,Bachelor,2.7,0,1,2.33,56.9,0,4,81.3,21.9,2.5,4.0,1,0,0
S100001,27,Female,Medium,None,9.9,0,0,2.86,55.5,0,3,71.7,11.2,3.25,6.0,1,0,0
S100002,25,Female,Low,Secondary,3.9,0,1,2.84,40.8,0,1,70.9,9.1,2.14,11.0,0,0,1
S100003,22,Female,Medium,Bachelor,28.0,1,1,3.04,70.9,0,4,88.7,9.8,2.72,7.0,1,1,0
S100004,22,Male,Medium,Bachelor,5.4,0,1,2.97,72.4,0,2,80.0,16.8,2.85,7.0,1,0,1
S100005,28,Male,Medium,None,16.6,0,0,3.53,79.1,1,7,44.1,16.7,2.78,4.0,0,0,1
S100006,18,Female,High,Bachelor,24.4,0,0,3.29,74.8,0,4,77.0,8.8,3.07,9.0,0,0,0
S100007,26,Female,High,Secondary,8.6,0,1,2.96,71.0,0,1,74.2,16.0,2.23,4.0,1,0,0
S100008,19,Female,Medium,Bachelor,6.9,1,1,2.83,73.9,0,6,98.9,10.8,2.41,9.0,1,0,0
S100009,18,Female,Medium,Bachelor,0.5,0,1,2.98,75.5,0,6,61.4,6.3,3.3,4.0,1,0,0
S100010,23,Female,Medium,None,27.9,0,0,2.99,78.6,0,6,100.0,9.2,2.51,7.0,1,0,0
S100011,29,Female,Medium,Secondary,7.1,0,1,4.0,42.1,1,3,92.9,18.5,2.45,14.0,0,0,1
S100012,26,Male,Low,Secondary,10.2,0,0,2.27,58.1,0,8,75.8,13.6,2.21,9.0,1,0,1
S100013,26,Male,Medium,Bachelor,3.3,1,0,2.54,40.7,2,4,73.7,7.5,2.48,7.0,1,0,0
S100014,26,Male,Medium,Secondary,18.2,1,0,2.46,70.0,1,5,70.4,14.7,2.08,11.0,0,0,0
S100015,27,Female,Medium,Bachelor,5.3,0,1,3.13,89.4,1,5,84.8,13.6,3.31,5.0,0,0,1
S100016,23,Male,High,Secondary,18.3,0,0,3.11,78.4,0,5,68.2,8.5,2.49,4.0,1,0,0
S100017,18,Male,Medium,Secondary,0.0,0,0,2.71,55.9,0,2,78.2,6.3,2.04,7.0,1,1,0
S100018,27,Female,Medium,None,12.3,0,1,3.45,72.6,0,4,63.7,4.4,2.66,12.0,0,0,0
S100019,22,Male,Low,Secondary,33.9,0,1,3.18,70.2,0,2,90.7,1.8,1.82,12.0,0,0,0
S100020,23,Male,Low,Secondary,9.1,1,0,3.47,68.5,0,2,82.5,6.7,2.2,6.0,0,3,1
S100021,21,Female,Medium,Bachelor,21.5,0,1,3.6,45.4,1,7,73.0,9.1,3.75,7.0,0,0,0
S100022,19,Male,Medium,Postgraduate,14.2,0,1,1.93,84.7,1,7,76.4,16.3,2.04,10.0,1,1,1
S100023,29,Female,Low,Secondary,7.7,0,0,3.34,47.3,1,7,69.6,14.1,2.7,18.0,1,0,0
S100024,27,Female,Low,Bachelor,13.6,0,1,2.35,59.5,0,5,84.7,11.0,4.34,7.0,1,0,0
S100025,25,Male,Low,Secondary,16.7,0,1,3.12,79.4,0,3,61.2,0.6,2.97,14.0,0,0,1
S100026,22,Female,Medium,Bachelor,30.7,0,1,2.96,59.4,0,1,93.5,11.5,2.44,9.0,0,0,1
S100027,27,Female,Medium,None,8.0,0,0,2.98,66.2,0,6,82.6,1.8,1.41,11.0,1,0,0
S100028,24,Female,Medium,Bachelor,14.2,0,1,2.4,66.8,0,8,73.3,14.4,2.92,12.0,0,0,1
S100029,22,Female,Low,Secondary,2.1,0,1,3.52,66.0,0,5,88.8,14.5,2.26,9.0,0,0,1
S100030,22,Female,Low,Secondary,12.7,1,1,2.35,66.7,0,3,85.8,10.3,3.19,8.0,0,1,1
S100031,19,Female,Low,Bachelor,62.1,0,0,3.38,68.2,1,5,64.3,14.1,2.33,7.0,1,0,1
S100032,18,Female,Medium,Secondary,14.1,0,0,2.28,66.1,0,2,99.6,15.1,2.99,9.0,1,0,0
